Question,Option A,Option B,Option C,Option D,Answer,Explanation
# 4. User passwords in Linux are stored as,Direct text data,Encrypted using some sort of hashing function,Encrypted using mono-alphabetic cipher,Encrypted using homophonic substitution cipher,a ,
"# 5. On a class B network, how many hosts are available at each site with subnet mask of 248? #networking","16,382","8,190","4,094","2,046",d ,
# 6. A job which is schedule to run periodically at fixed times or intervals is known as-,Batch Job,Cron job,Shell Script,None of the above,b ,
"# 7. In Oracle DBMS, LGWR",Foreground Process,Background Process blood,High Priority Process,Batch Process,b ,
# 8. The ------ is an HFC network device installed inside the distribution hub that receives data from the internet and passes them to the combiner.,CM,CMTS,DOCSIS,MCNS,b,
# 9. Finding useful pattern from the data in a database is known as-,Data Visualization,Data Mining,Data Analytics,All of the above,b ,
# 10. ------ helps prevent power surges.,Surge suppressor,Surge protector,UPS system,High-grade multi-meter,a ,
# 11. What is the API level of Android version 11?,24,25,31,None of the above.,d,
# 12. .NET can be used in the following-,Development of Desktop Applications on avel to phone?,Development of Micro services and containers,Development of Cloud Applications,All of the above statements are true,d,
# 13. What is the Internal Codename of Android version 8.0?,Red Velvet Cake,Oatmeal Cookie,Snow Cone,Jelly Bean,b ,
# 14. Which of the following statements is false with respect to SSL?,"Secure Sockets Layer (SSL) is a security protocol that provides privacy, authentication, and integrity to Internet communications",SSL evolved into Transport Layer Security (TLS),SSL's final version was SSL 4.0,None of the above statements is false,c ,
"# 15. A circuit has two different voltage sources that are connected in a series-opposing form. If the sources are rated at 6V and 9V, what is the total source voltage?",3 V,16 V,7.5 V,8 V,a,
# 16. What is the typical speed of USB version 3.0?,4.8G bits per second,610 Mbps,6Gbps,Both a and b,d ,
# 17. Java Virtual Machine is-,Acts as a full-fledged hypervisor,Converts bytecodes to Operating System dependent code,Is known as the Compiler of Java programming language,Manages system memory and provides a portable execution environment for Java- bases applications,d ,
"# 18. In which type of circuit switching, delivery of data is delayed because data must be stored and retrieved from RAM.",Space-division,Time-division,Virtual,Packet,b ,
# 19. Which one of the following statements with respect to REST API is false? #untagged,A REST API would use a GET request to retrieve a record,A REST API would use a DELETE request to delete a record,The operations in a REST API can be called from any HTTP client,None of the above statements is false,d,
# 20. What is the maximum data rate of a channel with a bandwidth of 200 KHz if we use four levels of digital signaling? #math #networking [[Maths#**Shanon Nd Nyquist Problems**| more...]],400 Kbps,800 Kbps,1000 Kbps,1200 Kbps,b ,
# 21. SSDs are more durable than HDDs in extreme and harsh environments because,They don't have actuator arms,They use fast electronics Memory,They do not use 0/1 as data storage unit which is prone to crash,All of the above statements are true,a,
# 22. Which one of the following statements is false?,Data mining is considered as a process of extracting data from large data sets,Data warehouse is the process of pooling all the relevant data together.,Data warehouse is created with the data generated by data mining for future use.,None of the above statements is false,c ,
# 23. Which one of the following is a No-SQL Database?,MongoDB,CasperDB,ZBase,All of the above,a ,
"# 24. If the end office receives two bursts of analog signals with frequencies of 697 and 1477 Hz, then the number ----- has been punched. #untagged",1,2,3,4,c,
"# 25. What will be the output of the following SQL ""Select Round (==232==.420, -2) AS Round Value""? #database [[Database#The SQL Problem 25|more..]]",240,200,233,Syntax error,b ,
### **What Does `-2` Mean?**,,,,,,
### **Step-by-Step Calculation**:,,,,,,
# 26. whic is true WRTO. Printer Daemon Process ?,The printer daemon of Operating System runs in kernel mode.,Jobs in the printer daemon queue cannot be removed once inserted. (c) Printer daemon application runs only when it is printing.,,Printer daemon runs as a service in Operating System,d ,
"# 27. When a beam of light travels through media of two different densities, if the angle of incidence is greater than the critical angle ----- occurs.",Refraction,Reflection,Incidence,Criticism,a,
"# 28. In the ---- protocol, the symmetric key is K= G<sup>xy</sup> mod N, where G and N are public numbers.",Needham-Schroeder,Otway-Rees,Diffie-Hellman,Kerberos,c ,
# 29. Which of the following statements is false?,64-bit processor is more capable than a 32-bit processor because it can handle more data at once,A Computer works with Hexa-Decimal number system,A 32-bit system can access 232 memory addresses,None of the above statements is false,c,
# 30. Which one of the following statements is true?,Cache memory is a small amount of memory which is a part of the Random-Access memory,Cache memory is used to temporarily hold instructions and data that the CPU is likely to reuse,Cache Memory is cheaper memory,All of the above statements are true,b,
# 31. Which error detection method involves the use of parity bits? #networking [[Networkings#**Error Detection**|more..]],Simple parity check,Two-dimensional parity check,CRC,a and b,b ,
# 32. A DNS response is classified as if the information comes from a cache memory. #networking,Authoritative,Recursive,Unauthoritative,Iterative,b ,
"# 33. An email contains a textual birthday greeting, a picture of a cake, and a song. The order is not important. What is the Content-type?",Multipart/digest,Multipart/alternative,Multipart/mixed,Multipart/parallel,c ,
# 34. Which one of the following statements is true with respect to a Database Management System? #database [[Database#**Keys Definitions in DBMS**|more.. keys]],Super key and candidate keys are similar,Candidate keys and Unique Keys are similar,Unique Keys and Primary Keys are similar,Candidate keys and Primary keys are similar,c ??? really,
"# 35. ------ is a client-server program that provides and IP address, subnet mask, IP address of a router, and IP address of a name server to a computer. #networking",NAT,DHCP,CIDR,ISP,b ,
# 36. The Average-case Time Complexity of the binary search algorithm is- #cse [[Cse#Search Complexity|more.. other also..]],O(n/2 logn),O(n log n),O(log n),O(1),c ,
# 37. ------ is a standard to allow telephones on the public telephone network to talk to computers connected to the Internet.,SIP,H.323,IEEE 802.3,V.90bis,b,
# 38. An Ethernet LAN using the OSPF protocol with five attached routers can be called a ----- network. #networking [[Networkings#**What is OSPF?**]],Point-to-point,Stub ->,Transient,Virtual,c ,
### **Why Other Options Are Incorrect:**,,,,,,
# 39. The term LPDDR means- #untagged,Low-Power Discrete Data Rate,Low-processing Double Data Rate,Low-Programmable Double Data Rate,None of the above,d,
# 40. What is the maximum data rate in IEEE 802.11n? #networking,300 Mbps,600 Mbps,1 Gbps,832 Mbps,b ,
"# 41. The binary search algorithm is used to search for a given item when items are sorted. If the number of items is 1 million, which of the following is the closest to the maximum number of comparisons required to find the item.",15,20,25,30,b,
# 42. What is the min and max number of tables required to convert an ER diagram with 2 entities and 1 relationship between them with partial participation constraints of both entities? #database [[Database#**Er- Diagram & Number of tables|more..]],Min 1 and max 2,Min 1 and max 3,Min 2 and max 3 [[Database#**Er- Diagram & Number of tables|more..]],Min 2 and max 2,,
# 43. Major function of a transport layer in the OSI model is to perform #networking,Peer to peer message encryption,Node to node message delivery,Transparent transfer of data between end users,None of the above,c ,
"# 44. At any iteration of simplex method, if A; (Z; - C;) corresponding to any non-basic variable X¡ is obtained as zero, the solution under the test is- #untagged",Degenerate solution,Unbounded solution,Alternative solution,Optimal solution,c,
# 45. An IPv6 basic ==header== is fixed as- #cse,32 bits long,40 bytes long,64 bits long,128-bit long,b ,
# 46. Which of the following neural networks uses supervised learning?  #cse,Multilayer perceptron,Self organizing feature map,Hopfield network,a and c,a ,
# 47. Which of the following services uses both TCP and UDP ports? #networking,DNS,TFTP,SSH,TELNET,a ,
# 48. Which of the following Linux command has incorrect syntax? #cse,cat sample.txt | grep -v a | sort - r,chown:group3 File 1,chmoda+rx viewer.sh,None of the above,b,
"# 49. In software development, value adjustment factors include the following among others:  #cse",the criticality of the performance and reusability of the code,number of lines of code in the software.,number of technical manpower and hardware costs,time period available and the level of user friendliness,a ,
"# 50. What is the maximum size of a file allowed in Linux with the following data Block Size = 4KB,  data pointer size = 4 bytes ?",1 TB,Less than 4TB,2TB+2GB+2MB+64KB,More than 4 TB,b,
"# 51. In a two-level memory hierarchy, the access time of the memory is 12 nanoseconds, and the access time of the main memory is 1.5 microseconds. The hit ratio is 0.98. What is the average access time of the two-level memory system?",13.5 nsec,42 nsec,7.56 nsec,76 nsec,,
# 52. A single switch port is considered as-,A separate unicast domain,A separate broadcast domain,A separate multicast domain,A separate collision domain,b,
"# 53. Which UNIX/Linux command is used to make all files and sub-directories in the directory ""progs"" executable by all users?",chmod -R a+x progs,chmod -R 222 progs,chmod -X a+x progs,chmod -X 222 progs,a,
# 54. An Access point operates in which layer of OSI model?,Data link Layer,Presentation layer,Physical layer,Transport layer,a ,
# 55. Which of the following Process scheduling algorithm is highly improbable to be implemented?,FCFS Scheduling,Priority Scheduling,Shortest Job First Scheduling [[OS#**Shortest Job First (SJF) SchedulingHow It Works**|more..]],None of the above,c ,
# 56. Consider the following program fragment in assembly language:,ax=FFF5 h and cx=0h,ax=FFF6 h and cx=0h,ax=FFF7 h and cx=A h,ax=FFF5 h and cx=0A h,b,
# 57. How many core/threads does the Intel Core i7-9700K processor have?,6/12,4/8,8/8,8/16,c,
"# 58. Assuming the existence of a start and end nodes for a program graph (PG), the total cam number of Paths is equivalent to set of test data required to test software.",Minimum,Maximum,Optimum,Supreme,a,
# 59. In which year were chips used inside the computer for the first time?,1964,1974,1975,1981,b,
# 60. Which one of the following is false with respect to cryptography?,A symmetric key system uses only the private key,An asymmetric key system makes use of the both the public key and the private key,"An Asymmetric key system is used as a Public Key Infrastructure, or PKI for shoaten (",,d,
# 61. সামন্তবাদ কোন ইউরোপীয় দেশেপ্রথম সূত্রপাত হয়?,ইতালি,ইংল্যান্ড,ফ্রান্স,রাশিয়া,,
# 62. ধরিত্রী সম্মেলন কোথায় অনুষ্ঠিত হয়?,আফ্রিকার জোহানেসবার্গ,ব্রাজিলের রিওডিজেনিরোতে,ইতালির রোমে,যুক্তরাষ্ট্রের ওয়াশিংটন ডিসিতে,,
# 63. আইওএস (IOS) মোবাইল অপারেটিং সিস্টেমটি কোন প্রতিষ্ঠান বাজারজাত করে?,অ্যাপেল,গুগল,মাইক্রোসফট,আইবিএম,a,
# 64. The product of two positive numbers is p. If each of the numbers is increased by 2. the new product is how much greater than twice the sum of the two original numbers?,p times,2p times,(p+4) times,(2p+3) times,c,
"# 65. A jar contains white, red and green marbles in the ratios` 2:3:5` Six more green marbles are added to the jars, and then the ratio becomes `2:3:7.` How many white marbles are there in the jar?",2,4,6,8,c ,
"# 66. If a, b and c are 3 consecutive integers and a>b>c, which of the following has the maximum value? An",,,,,b,
# 67. One dozen eggs and ten pounds of apples are currently of the same price. If the price of a dozen eggs rises by 10% and that of apples rises by 2% how much more e will it cost to buy a dozen of eggs and ten pounds of apples?,2%,10%,6%,12%,c,
# 68. ‘ব্যক্ত' শব্দের বিপরীতার্থক শব্দ কোনটি?,ত্যক্ত,গ্রাহ্য,দৃঢ়,গূঢ়,,
# 69. মুক্তিযুদ্ধের পটভূমিতে রচিত কাব্যগ্রন্থ কোনটি?,নেকড়ে অরণ্য,বন্দী শিবির থেকে,নিষিদ্ধ লোবান,প্রিয়যোদ্ধা প্রিয়তম,b,
# 70. কাজী নজরুল ইসলামের 'অগ্নি-বীণা' কাব্যের প্রথম কবিতা কোনটি ?,আগমনী,কোরবানী,প্রলয়োল্লাস,বিদ্রোহী,c,
# 71. কোনটি রবীন্দ্রনাথ ঠাকুরের কাব্যগ্রন্থ?,শেষ লেখা,শেষ প্রশ্ন,শেষ কথা,শেষ দিন,a,
# 72. মুনীর চৌধুরীর মুখরা রমনী বশীকরণ' একটি-,উপন্যাস,ছোটগল্প,প্রবন্ধ,অনুবাদ নাটক,d,
# 73. ‘বন্ধন' শব্দের সঠিক অক্ষর বিন্যাস কোনটি?,ব+নন্ধ+ন্,বন্+ধন্,ব+ন্ধ+ন,বান্+ধন্,b,
# 74. বহুব্রীহি সমাসবদ্ধ পদ কোনটি?,জনশ্ৰুতি,অনমনীয়,খাসমহল,তপোবন :,b,
# 75. 'বিষাদ সিন্ধু' একটি-,গবেষণা গ্রন্থ,ধর্মবিষয়ক প্রবন্ধ,ইতিহাস আশ্রয়ী উপন্যাস,আত্মজীবনীপ,c,
# 76. বাংলা কথ্য ভাষার আদি গ্রন্থ কোনটি?,প্রভু যিশুর বানী,কৃপার শাস্ত্রের অর্থভেদ,ফুলমণি ও করুণার বিবরণ,মিশনারি জীবন,b,
# 77. উপসর্গ কোনটি?,অতি,থেকে,চেয়ে,দ্বারা,a,
# 78. The warning of the authority falls on deaf ears. Here warning does the function of -,adverb,adjective,verb,noun,d,
"# 79. “A rolling stone gathers no moss"" The complex form of the sentence is-gad","Since a stone is rolling, it gathers no moss","Though a stone roll, it gathers no moss.",A stone what rolls gathers no moss.,A stone that rolls gathers no moss.,d,
"# 80. Choose the pair of words that expresses a relationship similar to that of ""Harm:Damage""=",Sweet : Sour,Injure: Incapacitate,Stout:Weak,Hook:Crook,b,
"# 81. Which word is the determiner in the sentence ""Will it take much time?"" (==seen in live mcq==)",Will,take,much,time,c,
# 82. Which is the correct sentence?,He insisted on seeing her,He insisted for seeing her,He insisted in seeing her,He insisted to be seeing herd of deno ali Ans: a,,
"# 83. If a part of a speech or writing breaks the theme, it is called-",pomposity,digression,exaggeration,anti-climax,b,
# 84. There are n students in a school. If r % among the students are 12 years or younger en which of the following expressions represents the number of students who are olde than 12?,n(1-r),100(1-r),n(1-r)/100,n(100-r)/100,  c,
"# 85. Length of a train is 170 meters and speed of train is 63 km / hour. This train can pas a bridge in 30 seconds, then find the length of the bridge.",355 m,325 m,365 m,312 m,,
"# 86. A wholesaler sells goods to a retailer at a profit of 20% . The retailer sells to the customer, who pays 80% more than the cost of the wholesaler. What is the retailer profit?",40%,50%,60%,70%,,
# 87. If x<x< x then the value of x could be,0,1,,√3,1,
# 88. The hypotenuse of a right triangle is 2 centimeters more than the longer side of th triangle. The shorter side of the triangle is 7 centimeters less than the longer side Find the length of the hypotenuse.,13,15,17,19,•,
"# 89. Equal amounts of water were poured into two empty jars of different capacities which made one jar » full and the other jar 1/3 full. If the water in the jar with th lesser capacity is then poured into the jar with the greater capacity, what fraction the larger jar will be filled with water?",1/3,1/4,1/3,1/2,,
# 90. গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান প্রবর্তিত হয়-,১৭ এপ্রিল ১৯৭১,১৬ ডিসেম্বর ১৯৭২,৭ মার্চ ১৯৭২,২৬ মার্চ ১৯৭৩,,
# 91. বঙ্গবন্ধু আগরতলা ষড়যন্ত্র মামলায় মোট আসামি সংখ্যা ছিল কতজন?,৩৪ জন,৩৫ জন,৩৬ জন,৩২ জন,,
# 92. আইন প্রণয়নের ক্ষমতা-,A gerund,রাষ্ট্রপতির,১৯৯৯,জাতীয় সংসদের,d,
# 93. পার্বত্য চট্টগ্রাম শান্তিচুক্তি কত সালে স্বাক্ষরিত হয়?,,,,,,
# 94. বাংলাদেশের প্রথম স্বাধীন নবাব কে?,,,,,,
# 95. বায়ুমন্ডলের যে স্তরে বেতার তরঙ্গ প্রতিফলিত হয়-,স্ট্রাটোস্ফিয়ার,ট্রপোস্ফিয়ার,,,,
# 96. ‘কালাপানি' কোন দুই রাষ্ট্রের মধ্যে অমীমাংসিত ভূখন্ড ?,ভারত ও নেপাল,পাকিস্তান ও চীন,ভূটান ও ভারত,বাংলাদেশ ও ভারত,,
"# 97. Education is enlightening. Here ‘enlightening"" is:",,,,,,
# 98. The comparison of unlike things using the words like on as is known to be,metaphor,A participle (c) An infinitive,আয়োনোস্ফিয়ার (d) ওজোনস্তর,A finite verb, ,
"# 99. In English grammar,",Morphology (b) Etymology,simile,Syntax,Semantics tbl Ans: c,b ,
# 100. Give the antonym of the word 'transitory'.,temporary,permanent (c) transparent (d) short-lived,,,b,
Sonali and Janata Bank - Assistant Database Administrator,,,,,,
# 1. A database can be hacked by- #database,,,,,d ,
# 2. Which of the following is not a DDL command? #database,,,,,d [[Database#**SQL Command Categories**|more.. table]],
# 3. Business Intelligence (BI) reporting analyses can be performed using #database,,,,,a,
"# 4. The SQL statement SELECT ROUND (45.926, -1) FROM DUAL;  #database [[Database#The SQL Problem 25|more..]] || [[#25. What will be the output of the following SQL ""Select Round (2==32==.420, -2) AS Round Value""? database Database The SQL Problem 25 more..|same]]",,,,,d ,
# 5. Assume that you want to improve database performance and willing to see the amount of swap space. Which command you can use in LINUX OS environment? #database [[Database#**Explanation of Each Option of prob 5 **| explant..]],,,,,c,
"# 6. In oracle to change the DB_Block_size parameter, you need to-  #database",,,,,b,
# 7. Which of the following controls the execution of application program and UI in two tier client/server architecture?,,,,,d ,
# 8. Which one of the following is a failure to a system?,,,,,d ?? why C,
# 9. Referential integrity in a DBMS is a form of- #database,,,,,c ,
# 10. How can your rollback a committed transaction in any DBMS? #database,,,,,d,
# 11. LGWR process writes information into- #database,,,,,c ,
"# 12. In a schema with attributes A, B, C, D and F following set of functional dependencies ==(FDs)== ar are given A => B, A=>C, CD=> E, B=>D, E=>A. Which of the following functional dependencies is not implied by the above set? #database/functionl_depnd ||  [[Database#**Explanation of Functional Dependency (FD) with Examples**|more.]] ||  [[Database#**Real Example**|see solve..]]",,,,,b,
"# 13. Let E1 and E2 be two entities in an E/R diagram with simple single-valued attributes. R1 and R2 are two relationships between E1 and E2, where R1 is one-to- many and R2 is many-to-many. R1 and R2 do not have any attributes of their own. What is the minimum number of tables required to represent this situation in the relational model? #database  [[Database#**Explanation of Functional Dependency (FD) with Examples**|more..]]",,,,,b ,
# 14. Which of the following is an appropriate category of system maintenance performed for the purpose of modifying the system to cope with changes in the software environment?,,,,,c ,
# 15. What are the different events in Triggers?  #database [[Database#**SQL Command Categories**|more..]],,,,,a ,
# 17. The packaged procedure that makes data in form permanent in the Database is- #database,,,,,c,
"# 18. When three or more AND & OR conditions are combined, it is easier to use the SQL keyword(s): #database",,,,,d,
# 19. How to select all data from student table starting the name from letter 'r'?  #database,,,,,a,
# 20. Needing to assess the validity of assumed referential integrity constraints on foreign keys is a(n) ------ advantage  of normalization.  #database/referntial_constr,,,either an advantage or disadvantage,,d,
# 21. Data integrity problems in a DBMS is caused due to- #database,,,,,b,
"# 22. A collection of conceptual tools for describing data, data relationships, data semantics, and consistency constraints, is known as-",,,,,d,
# 23. The fastest read/write time and most efficient data storage of any disk array type is: #database [[Database#RAID|more. on raid]],,,,,a,
# 24. Which of the following is an appropriate description of the mapping between the relational model and relational database as its implementations? #database,,,,,b,
# 25. How can you generate debugging output from PL/SQL? #database,,,,,b ,
# 26. What is GET_BLOCK property? #database,,,,,d ,
# 27. Which of these is not a common reason businesses choose to go with a data center colocation service for disaster recovery instead of building a new data center?,,,,,c,
# 28. Which of the following are the five built-in functions provided by SQL? #database,,,,,a,
# 29. Which of the following is a technique for hiding the internal implementation details of an object? #cse,,,,,a ,
# 30. Embedded SQL is which of the following? #database,,,,,a ,
# 31. ROLLBACK command is used to undo the changes made by- #database [[Database#**SQL Command Categories**|more...]],,,,,d ,
# 32. In a comparatively small organization if you want data forwarding among departments based on IP address which one of the following will be a better bet for networking?,,,,,d,
# 33. A star schema has what type of relationship between a dimension and fact table?  #database ||  [[Database#Star Schema|more..]],,,,,c ,
# 34. What does this query do?  #database,,,,,c,
# 35. What is invoked via HTTP on the ==Web server== computer when it responds to requests from a user's Web browser? #untagged,,,,,c ,
# 36. How does RAID provide data protection? #database [[Database#RAID|more..]] || [[Database#**36. Explanation of RAID **|for this ques..]],,,,,a,
# 37. A DNS client is called a  #networking,,,,,b ,
# 38. Which of the following is correct for the Create index command? #star/4,,,,,d ,
